Method_1,Method_2,Agreement_ARI,Avg_Performance,Complementarity_Score
Image Only,Early Fusion,0.0007574667791282359,0.3932747277808284,0.3929768352394637
Text Only,Image Only,0.0012902549060704997,0.3923838211791756,0.39187754602883645
Early Fusion,Late Fusion,-0.002733001264375691,0.3813490479440036,0.382391275374203
Early Fusion,Attention Fusion,0.0017038705205322541,0.38174776354307577,0.3810973147824956
Text Only,Late Fusion,-0.0015244196544363417,0.3804581413423508,0.3810381192107034
Text Only,Attention Fusion,-0.0004592037856654728,0.3808568569414229,0.38103174785192706
Image Only,Late Fusion,0.259773328261433,0.3498723730212714,0.25898486221481015
Image Only,Attention Fusion,0.26166748847799587,0.35027108862034356,0.2586165325746047
Late Fusion,Attention Fusion,0.683278196312533,0.33834540878351876,0.10716136813928942
Text Only,Early Fusion,0.7950932394521151,0.4238604961019078,0.08685188118046133
